Record Date,Country,Currency,Country - Currency Description,Exchange Rate,Effective Date,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2021-12-31,Afghanistan,Afghani,Afghanistan-Afghani,103.4,2021-12-31,1,2022,1,2021,4,12,31
2021-12-31,Afghanistan,Afghani,Afghanistan-Afghani,91.39,2022-02-15,2,2022,1,2021,4,12,31
2021-12-31,Albania,Lek,Albania-Lek,105.95,2021-12-31,3,2022,1,2021,4,12,31
2021-12-31,Algeria,Dinar,Algeria-Dinar,138.284,2021-12-31,4,2022,1,2021,4,12,31
2021-12-31,Angola,Kwanza,Angola-Kwanza,562.44,2021-12-31,5,2022,1,2021,4,12,31
2021-12-31,Angola,Kwanza,Angola-Kwanza,491.07,2022-02-28,6,2022,1,2021,4,12,31
2021-12-31,Antigua & Barbuda,E. Caribbean Dollar,Antigua & Barbuda-E. Caribbean Dollar,2.7,2021-12-31,7,2022,1,2021,4,12,31
2021-12-31,Argentina,Peso,Argentina-Peso,107.75,2021-12-31,8,2022,1,2021,4,12,31
2021-12-31,Armenia,Dram,Armenia-Dram,485.0,2021-12-31,9,2022,1,2021,4,12,31
2021-12-31,Australia,Dollar,Australia-Dollar,1.375,2021-12-31,10,2022,1,2021,4,12,31
2021-12-31,Austria,Euro,Austria-Euro,0.882,2021-12-31,11,2022,1,2021,4,12,31
2021-12-31,Azerbaijan,Manat,Azerbaijan-Manat,1.7,2021-12-31,12,2022,1,2021,4,12,31
2021-12-31,Bahamas,Dollar,Bahamas-Dollar,1.0,2021-12-31,13,2022,1,2021,4,12,31
2021-12-31,Bahrain,Dinar,Bahrain-Dinar,0.377,2021-12-31,14,2022,1,2021,4,12,31
2021-12-31,Bangladesh,Taka,Bangladesh-Taka,86.0,2021-12-31,15,2022,1,2021,4,12,31
2021-12-31,Barbados,Dollar,Barbados-Dollar,2.02,2021-12-31,16,2022,1,2021,4,12,31
2021-12-31,Belarus,New Ruble,Belarus-New Ruble,2.544,2021-12-31,17,2022,1,2021,4,12,31
2021-12-31,Belarus,New Ruble,Belarus-New Ruble,3.05,2022-02-28,18,2022,1,2021,4,12,31
2021-12-31,Belgium,Euro,Belgium-Euro,0.882,2021-12-31,19,2022,1,2021,4,12,31
2021-12-31,Belize,Dollar,Belize-Dollar,2.0,2021-12-31,20,2022,1,2021,4,12,31
2021-12-31,Benin,CFA Franc,Benin-CFA Franc,581.84,2021-12-31,21,2022,1,2021,4,12,31
2021-12-31,Bermuda,Dollar,Bermuda-Dollar,1.0,2021-12-31,22,2022,1,2021,4,12,31
2021-12-31,Bolivia,Boliviano,Bolivia-Boliviano,6.82,2021-12-31,23,2022,1,2021,4,12,31
2021-12-31,Bosnia,Marka,Bosnia-Marka,1.724,2021-12-31,24,2022,1,2021,4,12,31
2021-12-31,Botswana,Pula,Botswana-Pula,11.71,2021-12-31,25,2022,1,2021,4,12,31
2021-12-31,Brazil,Real,Brazil-Real,5.668,2021-12-31,26,2022,1,2021,4,12,31
2021-12-31,Brunei,Dollar,Brunei-Dollar,1.352,2021-12-31,27,2022,1,2021,4,12,31
2021-12-31,Bulgaria,Lev New,Bulgaria-Lev New,1.724,2021-12-31,28,2022,1,2021,4,12,31
2021-12-31,Burkina Faso,CFA Franc,Burkina Faso-CFA Franc,581.84,2021-12-31,29,2022,1,2021,4,12,31
2021-12-31,Burma,Kyat,Burma-Kyat,1769.5,2021-12-31,30,2022,1,2021,4,12,31
2021-12-31,Burundi,Franc,Burundi-Franc,1989.1,2021-12-31,31,2022,1,2021,4,12,31
2021-12-31,Cambodia,Riel,Cambodia-Riel,4051.0,2021-12-31,32,2022,1,2021,4,12,31
2021-12-31,Cameroon,CFA Franc,Cameroon-CFA Franc,578.24,2021-12-31,33,2022,1,2021,4,12,31
2021-12-31,Canada,Dollar,Canada-Dollar,1.277,2021-12-31,34,2022,1,2021,4,12,31
2021-12-31,Cape Verde,Escudo,Cape Verde-Escudo,97.22,2021-12-31,35,2022,1,2021,4,12,31
2021-12-31,Cayman Island,Dollar,Cayman Island-Dollar,0.82,2021-12-31,36,2022,1,2021,4,12,31
2021-12-31,Central African Rep.,CFA Franc,Central African Rep.-CFA Franc,578.24,2021-12-31,37,2022,1,2021,4,12,31
2021-12-31,Chad,CFA Franc,Chad-CFA Franc,578.24,2021-12-31,38,2022,1,2021,4,12,31
2021-12-31,Chile,Peso,Chile-Peso,842.5,2021-12-31,39,2022,1,2021,4,12,31
2021-12-31,China,Renminbi,China-Renminbi,6.373,2021-12-31,40,2022,1,2021,4,12,31
2021-12-31,Colombia,Peso,Colombia-Peso,4030.43,2021-12-31,41,2022,1,2021,4,12,31
2021-12-31,Comoros,Franc,Comoros-Franc,434.73,2021-12-31,42,2022,1,2021,4,12,31
2021-12-31,Congo,CFA Franc,Congo-CFA Franc,578.24,2021-12-31,43,2022,1,2021,4,12,31
2021-12-31,Costa Rica,Colon,Costa Rica-Colon,638.27,2021-12-31,44,2022,1,2021,4,12,31
2021-12-31,Cote D'ivoire,CFA Franc,Cote D'ivoire-CFA Franc,581.84,2021-12-31,45,2022,1,2021,4,12,31
2021-12-31,Croatia,KUNA,Croatia-KUNA,6.45,2021-12-31,46,2022,1,2021,4,12,31
2021-12-31,Cross Border,Euro,Cross Border-Euro,0.882,2021-12-31,47,2022,1,2021,4,12,31
2021-12-31,Cuba,Chavito,Cuba-Chavito,1.0,2021-12-31,48,2022,1,2021,4,12,31
2021-12-31,Cuba,Peso,Cuba-Peso,24.0,2021-12-31,49,2022,1,2021,4,12,31
2021-12-31,Cyprus,Euro,Cyprus-Euro,0.882,2021-12-31,50,2022,1,2021,4,12,31
2021-12-31,Czech. Republic,Koruna,Czech. Republic-Koruna,21.417,2021-12-31,51,2022,1,2021,4,12,31
2021-12-31,Dem. Rep. of Congo,Franc,Dem. Rep. of Congo-Franc,1987.8,2021-12-31,52,2022,1,2021,4,12,31
2021-12-31,Denmark,Krone,Denmark-Krone,6.556,2021-12-31,53,2022,1,2021,4,12,31
2021-12-31,Djibouti,Franc,Djibouti-Franc,177.0,2021-12-31,54,2022,1,2021,4,12,31
2021-12-31,Dominican Republic,Peso,Dominican Republic-Peso,56.79,2021-12-31,55,2022,1,2021,4,12,31
2021-12-31,Ecuador,Dolares,Ecuador-Dolares,1.0,2021-12-31,56,2022,1,2021,4,12,31
2021-12-31,Egypt,Pound,Egypt-Pound,15.68,2021-12-31,57,2022,1,2021,4,12,31
2021-12-31,El Salvador,Dollar,El Salvador-Dollar,1.0,2021-12-31,58,2022,1,2021,4,12,31
2021-12-31,Equatorial Guinea,CFA Franc,Equatorial Guinea-CFA Franc,578.24,2021-12-31,59,2022,1,2021,4,12,31
2021-12-31,Eritrea,Nakfa,Eritrea-Nakfa,15.0,2021-12-31,60,2022,1,2021,4,12,31
2021-12-31,Eritrea,Nakfa Salary Payment,Eritrea-Nakfa Salary Payment,15.0,2021-12-31,61,2022,1,2021,4,12,31
2021-12-31,Estonia,Euro,Estonia-Euro,0.882,2021-12-31,62,2022,1,2021,4,12,31
2021-12-31,Ethiopia,Birr,Ethiopia-Birr,49.132,2021-12-31,63,2022,1,2021,4,12,31
2021-12-31,Euro Zone,Euro,Euro Zone-Euro,0.882,2021-12-31,64,2022,1,2021,4,12,31
2021-12-31,Fiji,Dollar,Fiji-Dollar,2.103,2021-12-31,65,2022,1,2021,4,12,31
2021-12-31,Finland,Euro,Finland-Euro,0.882,2021-12-31,66,2022,1,2021,4,12,31
2021-12-31,France,Euro,France-Euro,0.882,2021-12-31,67,2022,1,2021,4,12,31
2021-12-31,Gabon,CFA Franc,Gabon-CFA Franc,578.24,2021-12-31,68,2022,1,2021,4,12,31
2021-12-31,Gambia,Dalasi,Gambia-Dalasi,52.0,2021-12-31,69,2022,1,2021,4,12,31
